ISIN,Issue Date,Maturity Date,Yield,Coupon Rate,Coupon Frequency,Clean Price
XS0881511868,4/2/2017,4/2/2019,-0.002626,0.01625,Annual,101.931396
XS1045283766,18/03/2017,18/03/2019,-0.002167,0.015,Annual,101.968803
FR0000583155,1/6/2017,1/6/2019,0.003497,0.0775,Annual,109.878998
XS1077588017,17/06/2017,17/06/2019,-0.001604,0.01125,Annual,101.805
XS0728763938,11/7/2017,11/7/2019,-0.001915,0.04,Annual,106.104401
DE000A1AKHB8,22/07/2017,22/07/2019,-0.002068,0.0475,Annual,107.364998
XS0834640541,30/09/2017,30/09/2019,-0.001273,0.02375,Annual,104.199898
XS0478074924,14/01/2017,14/01/2020,-0.001351,0.04125,Annual,108.364502
XS0478736654,21/01/2017,21/01/2020,-0.000439,0.04405,Annual,108.807999
FR0011391580,16/01/2017,16/01/2020,-0.000904,0.01875,Annual,103.867203
XS0490013801,25/02/2017,25/02/2020,-0.000814,0.04375,Annual,109.278397
XS0520755488,29/06/2017,29/06/2020,-0.000441,0.04,Annual,109.830002
XS0522030310,29/06/2017,29/06/2020,-0.000436,0.03875,Annual,109.526901
XS0525146907,13/07/2017,13/07/2020,0.000007,0.04,Annual,109.866997
XS0965050197,27/08/2017,27/08/2020,-0.000126,0.0225,Annual,105.883202
XS0993248052,12/11/2017,12/11/2020,0.000412,0.02,Annual,105.487
FR0013064755,3/12/2017,3/12/2020,0.000559,0.00625,Annual,101.640198
XS0576532054,12/1/2017,12/1/2021,0.000521,0.04125,Annual,112.030197
XS0526606537,15/01/2017,15/01/2021,0.000395,0.04,Annual,111.732399
XS1328699878,4/1/2017,4/1/2021,0.000370,0.00625,Annual,101.733002
XS0595092098,24/02/2017,24/02/2021,0.000709,0.04375,Annual,113.219597
XS1032997568,17/02/2017,17/02/2021,0.000800,0.02,Annual,105.8666
XS1333702691,16/02/2017,16/02/2021,0.000756,0.00875,Annual,102.449501
XS1040272533,3/3/2017,3/3/2021,0.000740,0.02,Annual,105.966003
XS1375980197,8/3/2017,8/3/2021,0.001088,0.00625,Annual,101.623001
XS1048521733,24/03/2017,24/03/2021,0.000131,0.01625,Annual,105.1036
XS0256967869,7/6/2017,7/6/2021,0.000929,0.04375,Annual,114.381302
XS1347564970,21/06/2017,21/06/2021,0.001305,0.00875,Annual,102.561996
XS1110874820,17/09/2017,17/09/2021,0.003136,0.0125,Annual,103.414597
XS0693812355,20/10/2017,20/10/2021,0.001537,0.04375,Annual,115.705002
XS0466670345,18/11/2017,18/11/2021,0.001235,0.04875,Annual,118.057503
XS1502438820,11/10/2017,11/10/2021,0.001413,0.00125,Annual,99.969398
XS0728812495,11/1/2017,11/1/2022,0.001837,0.04,Annual,115.033203
XS0732513972,18/01/2017,18/01/2022,0.001695,0.0425,Annual,116.1548
XS1170137746,20/01/2017,20/01/2022,0.004044,0.00875,Annual,101.854897
XS1167352613,20/01/2017,20/01/2022,0.003034,0.00875,Annual,102.258797
XS1506396974,17/01/2017,17/01/2022,0.003117,0.0025,Annual,99.758202
DE000A1G0RU9,14/02/2017,14/02/2022,0.001888,0.035,Annual,113.334702
XS1196759010,3/3/2017,3/3/2022,0.002771,0.0075,Annual,101.939003
XS1571298139,28/02/2017,28/02/2022,0.002711,0.0025,Annual,99.931702
XS1292484323,15/03/2017,15/03/2022,0.001532,0.0125,Annual,104.528198
XS1135276332,6/4/2017,6/4/2022,0.001649,0.01,Annual,103.508797
XS0304159576,6/6/2017,6/6/2022,0.002454,0.0475,Annual,119.516899
XS1239401216,1/6/2017,1/6/2022,0.002985,0.01,Annual,103.057899
XS0801636902,5/7/2017,5/7/2022,0.003100,0.0325,Annual,112.962601
XS1640493372,30/06/2017,30/06/2022,0.003120,0.003,Annual,99.986504
XS1594335363,11/7/2017,11/7/2022,0.003900,0.005,Annual,100.522797
XS0813400305,8/8/2017,8/8/2022,0.003763,0.0275,Annual,110.671799
XS0819759571,23/08/2017,23/08/2022,0.003622,0.02625,Annual,110.269997
XS1573958409,6/9/2017,6/9/2022,0.003584,0.003,Annual,99.767502
XS1575474371,7/9/2017,7/9/2022,0.004191,0.0035,Annual,99.718803
DE000A1RE1W1,5/10/2017,5/10/2022,0.001683,0.02375,Annual,110.324898
XS1595523066,11/10/2017,11/10/2022,0.003839,0.00375,Annual,99.986504
XS1711933033,7/11/2017,7/11/2022,0.004004,0.0025,Annual,99.310997
XS1333139746,14/12/2017,14/12/2022,0.004025,0.01125,Annual,103.497002
XS1642738816,6/12/2017,6/12/2022,0.003883,0.005,Annual,100.550598
XS0873665706,11/1/2017,11/1/2023,0.005855,0.02375,Annual,108.723099
XS1368470156,22/02/2017,22/02/2023,0.004468,0.01,Annual,102.774803
XS1371969483,1/3/2017,1/3/2023,0.004431,0.01125,Annual,103.434196
XS1676933937,5/3/2017,5/3/2023,0.005364,0.00375,Annual,99.202003
XS0625859516,12/5/2017,12/5/2023,0.004467,0.045,Annual,121.156502
XS0933540527,22/05/2017,22/05/2023,0.004600,0.02375,Annual,110.059799
XS1517196272,10/11/2017,10/11/2023,0.005857,0.00625,Annual,100.239998
XS1411405662,12/5/2017,12/5/2024,0.005545,0.0075,Annual,101.225197
XS1685481332,18/09/2017,18/09/2024,0.007873,0.00625,Annual,98.970596
XS1722859532,22/11/2017,22/11/2024,0.007935,0.00625,Annual,98.891998
XS1189263400,12/2/2017,12/2/2025,0.007266,0.01125,Annual,102.724701
XS1476654238,15/02/2017,15/02/2025,0.006529,0.00375,Annual,98.0858
XS0525602339,14/07/2017,14/07/2025,0.007741,0.04125,Annual,124.246803
XS1292468045,15/09/2017,15/09/2025,0.007281,0.01875,Annual,108.517601
DE000A1684V3,8/10/2017,8/10/2025,0.006113,0.01625,Annual,107.628998
XS1048529041,24/03/2017,24/03/2026,0.007843,0.025,Annual,113.514
XS1382784509,23/03/2017,23/03/2026,0.009233,0.0125,Annual,102.547203
XS1412417617,18/05/2017,18/05/2026,0.009409,0.0125,Annual,102.462799
XS1496758092,29/09/2017,29/09/2026,0.009634,0.0075,Annual,98.235603
XS1529559525,7/12/2017,7/12/2026,0.010288,0.01125,Annual,100.8097
XS1135277140,20/01/2017,20/01/2027,0.009085,0.01625,Annual,106.158997
XS1180130939,3/2/2017,3/2/2027,0.010048,0.01375,Annual,103.1744
XS1506398244,17/04/2017,17/04/2027,0.009785,0.00875,Annual,99.088997
XS1676933853,5/9/2017,5/9/2027,0.010312,0.01125,Annual,100.864403
XS1689535000,27/09/2017,27/09/2027,0.010684,0.01125,Annual,100.526604
DE000A1HG1K6,13/03/2017,13/03/2028,0.010146,0.03,Annual,119.108803
XS1411401083,12/5/2017,12/5/2028,0.010534,0.0125,Annual,102.013
XS1476654584,15/08/2017,15/08/2028,0.011153,0.0075,Annual,96.569
XS1001594065,5/12/2017,5/12/2033,0.017231,0.035,Annual,125.127998
